Rainfall_Settefrati,Temperature_Settefrati,Date,Flow_Rate_Madonna_di_Canneto
2.4,12.2,06/05/2012,287.231903
5.6,13.0,07/05/2012,286.7788145
0.2,14.7,08/05/2012,300.1609827
0.0,15.95,09/05/2012,277.3687139
0.0,18.2,10/05/2012,290.09829510000003
0.0,19.5,11/05/2012,292.1424026
0.0,20.35,12/05/2012,286.87921789999996
0.0,19.3,13/05/2012,277.0724309
14.4,10.05,14/05/2012,275.994158
0.0,10.85,15/05/2012,257.56160065
6.6,11.3,16/05/2012,276.50780960000003
0.0,10.7,17/05/2012,284.8843918
0.0,11.85,18/05/2012,291.958799
0.0,16.0,19/05/2012,227.1598042
0.4,17.0,20/05/2012,294.2041201
10.6,13.3,21/05/2012,285.1102184
8.0,10.5,22/05/2012,294.1446548
0.8,12.3,23/05/2012,285.533332
0.2,17.0,24/05/2012,294.2041201
0.0,19.05,25/05/2012,264.13928856666666
17.6,14.45,26/05/2012,273.79922860000005
0.2,14.5,27/05/2012,283.6812059
7.0,12.75,28/05/2012,277.045497
0.6,14.35,29/05/2012,273.8138785
4.8,17.55,30/05/2012,276.9506957
17.2,17.35,31/05/2012,286.6528776
0.0,17.15,01/06/2012,286.1551645
0.0,18.25,02/06/2012,295.0102957
0.0,19.3,03/06/2012,277.0724309
4.0,16.0,04/06/2012,225.6479256
0.2,15.95,05/06/2012,266.3381576
0.0,17.85,06/06/2012,294.5531709
0.0,19.35,07/06/2012,277.0724309
0.0,22.95,08/06/2012,295.0479089
0.0,22.1,09/06/2012,263.20590545
0.0,20.1,10/06/2012,277.1059204
0.0,18.45,11/06/2012,281.67845845
0.0,17.8,12/06/2012,290.1523753
0.0,16.4,13/06/2012,286.385509
0.0,17.95,14/06/2012,248.72565475
0.0,20.85,15/06/2012,285.3902438
0.0,23.8,16/06/2012,295.1718293
0.0,25.5,17/06/2012,250.2996651
0.0,25.85,18/06/2012,294.5402742
0.0,26.55,19/06/2012,243.9294081
0.0,26.7,20/06/2012,214.73097819999995
0.0,25.95,21/06/2012,290.9855895
0.0,25.45,22/06/2012,250.2996651
0.0,26.0,23/06/2012,290.9855895
0.0,25.05,24/06/2012,285.256622
0.0,23.55,25/06/2012,264.7852791333333
1.6,24.15,26/06/2012,294.64468839999995
5.6,23.25,27/06/2012,277.0872416
0.4,24.1,28/06/2012,294.64468839999995
0.0,25.65,29/06/2012,221.4396477
0.0,27.0,30/06/2012,214.73097819999995
0.0,28.5,01/07/2012,277.8994841
0.0,27.15,02/07/2012,214.73097819999995
0.0,24.4,03/07/2012,293.55749460000004
0.0,23.3,04/07/2012,291.6549225
0.0,23.65,05/07/2012,292.99084460000006
0.0,23.45,06/07/2012,287.77708010000003
0.0,24.15,07/07/2012,294.64468839999995
0.0,25.45,08/07/2012,250.2996651
0.0,26.55,09/07/2012,243.9294081
0.0,26.95,10/07/2012,214.73097819999995
0.0,26.0,11/07/2012,290.9855895
0.2,23.8,12/07/2012,277.2789493
0.0,24.0,13/07/2012,291.8392389
0.0,24.95,14/07/2012,215.0094137
0.0,25.8,15/07/2012,286.4610258
0.0,22.65,16/07/2012,288.6508026
0.0,23.05,17/07/2012,291.36170755
0.0,24.25,18/07/2012,295.7802416
0.0,25.55,19/07/2012,253.92513535
0.0,25.9,20/07/2012,295.81987480000004
0.0,25.15,21/07/2012,276.8998325
0.4,23.0,22/07/2012,294.439253
22.0,17.5,23/07/2012,286.6528776
31.2,19.3,24/07/2012,290.725616
2.2,19.4,25/07/2012,293.2369257
0.2,21.8,26/07/2012,286.73907189999994
0.0,24.95,27/07/2012,215.0094137
0.0,26.95,28/07/2012,214.73097819999995
0.0,26.2,29/07/2012,265.4533742
0.0,25.8,30/07/2012,286.4610258
0.0,25.35,31/07/2012,294.60255750000005
0.0,26.2,01/08/2012,265.4533742
0.4,25.7,02/08/2012,286.4610258
0.0,25.5,03/08/2012,250.2996651
0.0,25.85,04/08/2012,294.5402742
0.0,26.45,05/08/2012,243.9294081
0.0,27.25,06/08/2012,214.73097819999995
0.0,29.9,07/08/2012,279.5458599
0.0,27.45,08/08/2012,216.0797671
0.0,26.4,09/08/2012,243.9294081
8.2,24.35,10/08/2012,288.6436626
0.0,21.55,11/08/2012,281.61998769999997
0.0,21.85,12/08/2012,272.27954320000003
0.0,23.45,13/08/2012,287.77708010000003
15.9,24.2,14/08/2012,287.2794151
0.0,24.7,15/08/2012,295.507095
0.0,24.3,16/08/2012,295.7802416
0.0,25.4,17/08/2012,294.60255750000005
0.0,27.05,18/08/2012,214.73097819999995
0.0,26.6,19/08/2012,243.9294081
0.0,27.05,20/08/2012,214.73097819999995
0.0,27.3,21/08/2012,214.73097819999995
2.8,27.85,22/08/2012,295.2068845
0.4,27.25,23/08/2012,295.2068845
0.0,26.35,24/08/2012,243.9294081
0.0,24.8,25/08/2012,295.507095
0.2,23.6,26/08/2012,277.2789493
0.0,23.15,27/08/2012,293.27540654999996
0.0,22.2,28/08/2012,284.21816055
0.0,23.65,29/08/2012,292.99084460000006
0.0,24.55,30/08/2012,279.9468057
0.0,23.6,31/08/2012,264.7852791333333
0.0,17.5,01/09/2012,247.05257269999998
0.0,19.35,02/09/2012,277.0724309
13.9,18.45,03/09/2012,264.2501785
5.8,17.25,04/09/2012,294.05386150000004
4.6,18.2,05/09/2012,291.75722169999995
5.4,19.95,06/09/2012,293.5315011
0.0,20.3,07/09/2012,290.6743731
0.0,20.75,08/09/2012,275.89721169999996
1.7,20.6,09/09/2012,295.27136980000006
2.4,20.35,10/09/2012,296.099689
0.2,19.8,11/09/2012,295.22875580000004
0.2,20.0,12/09/2012,292.24249069999996
26.0,15.95,13/09/2012,189.0161411
18.0,15.0,14/09/2012,273.79922860000005
0.0,16.0,15/09/2012,227.1598042
0.0,17.35,16/09/2012,282.2620847
0.0,17.05,17/09/2012,242.56005755
0.0,17.7,18/09/2012,277.0081689
6.8,17.55,19/09/2012,294.05386150000004
0.8,16.55,20/09/2012,289.9196703
0.0,15.4,21/09/2012,222.63856030000002
0.0,17.35,22/09/2012,282.2620847
0.0,19.85,23/09/2012,282.96730755
0.0,20.75,24/09/2012,275.89721169999996
0.0,18.7,25/09/2012,294.5955628
1.4,19.9,26/09/2012,294.46240939999996
0.0,21.2,27/09/2012,289.6637309
0.0,23.05,28/09/2012,291.36170755
0.0,24.6,29/09/2012,289.46310689999996
9.3,18.45,30/09/2012,286.9831089
0.0,20.15,01/10/2012,290.14573154999994
0.0,17.3,02/10/2012,274.7366045
0.0,16.55,03/10/2012,261.13668745
0.0,16.2,04/10/2012,274.10906969999996
0.0,16.55,05/10/2012,261.13668745
0.0,17.5,06/10/2012,247.05257269999998
0.0,16.2,07/10/2012,274.10906969999996
0.0,17.7,08/10/2012,277.0081689
5.8,15.3,09/10/2012,268.188346
0.0,16.75,10/10/2012,289.9936499
0.0,17.35,11/10/2012,282.2620847
19.3,15.6,12/10/2012,273.79922860000005
6.8,14.55,13/10/2012,275.9375031
0.0,14.8,14/10/2012,265.63859176666665
51.0,14.9,15/10/2012,296.6075439
2.2,12.7,16/10/2012,260.9386896
0.0,13.4,17/10/2012,276.8946238
0.0,16.05,18/10/2012,227.1598042
0.0,17.45,19/10/2012,274.8586989
0.0,18.6,20/10/2012,214.98615
0.0,18.95,21/10/2012,286.2061508
0.0,18.65,22/10/2012,293.215641
0.0,17.3,23/10/2012,274.7366045
0.0,16.15,24/10/2012,298.0875671
0.0,15.55,25/10/2012,295.4936659
29.5,13.75,26/10/2012,290.1787921
75.8,12.2,27/10/2012,279.9291829
17.8,6.35,28/10/2012,285.1038584
11.2,5.25,29/10/2012,284.4637546
1.0,6.6,30/10/2012,284.3272472
51.5,9.5,31/10/2012,274.315291
9.4,11.45,01/11/2012,294.6022972
0.4,12.25,02/11/2012,285.533332
0.0,10.85,03/11/2012,257.56160065
27.9,12.55,04/11/2012,276.2410629
14.0,13.6,05/11/2012,280.1491262
0.0,11.15,06/11/2012,256.071703
4.4,8.55,07/11/2012,191.8933704
0.0,8.85,08/11/2012,289.89635930000003
0.0,9.95,09/11/2012,274.4882009
0.0,12.25,10/11/2012,287.877428
0.6,14.6,11/11/2012,274.95283739999996
1.0,16.25,12/11/2012,300.01347789999994
0.0,16.35,13/11/2012,286.6524543
0.0,13.6,14/11/2012,285.44382235
0.0,10.4,15/11/2012,203.72247040000002
0.0,9.7,16/11/2012,291.37811095
0.0,10.7,17/11/2012,284.8843918
18.5,11.35,18/11/2012,274.44740210000003
6.2,10.95,19/11/2012,276.94187410000006
1.4,9.55,20/11/2012,296.6075439
0.0,11.55,21/11/2012,264.43726886666667
0.0,11.65,22/11/2012,253.17335344999998
0.0,11.55,23/11/2012,264.43726886666667
0.0,10.6,24/11/2012,287.01741864999997
0.0,10.2,25/11/2012,296.6075439
0.0,9.4,26/11/2012,261.8903418
1.8,9.2,27/11/2012,288.6040936
39.9,10.35,28/11/2012,296.6075439
49.7,6.25,29/11/2012,281.020619
6.2,6.05,30/11/2012,276.94187410000006
7.4,5.5,01/12/2012,296.6075439
13.8,6.15,02/12/2012,285.1038584
2.4,2.95,03/12/2012,286.28406789999997
17.8,3.4,04/12/2012,288.00177
0.2,3.9,05/12/2012,285.11884575
5.4,2.05,06/12/2012,296.6075439
11.0,2.25,07/12/2012,289.5708477
15.2,2.3,08/12/2012,289.5708477
0.0,-0.6,09/12/2012,296.60754390000005
16.6,0.0,10/12/2012,289.5708477
0.0,2.35,11/12/2012,296.6075439
0.0,0.75,12/12/2012,287.27980275
0.0,0.85,13/12/2012,287.27980275
24.4,5.15,14/12/2012,285.36189029999997
9.0,8.5,15/12/2012,295.1046023
0.6,9.5,16/12/2012,238.86662845
15.0,6.65,17/12/2012,226.94111580000003
0.2,5.4,18/12/2012,281.84168839999995
0.0,4.95,19/12/2012,285.1529731
0.0,3.55,20/12/2012,292.99206025
13.2,3.2,21/12/2012,285.28335039999996
0.2,5.65,22/12/2012,276.6314134
0.0,5.8,23/12/2012,288.87277136666665
0.0,7.9,24/12/2012,256.3078433
0.0,6.1,25/12/2012,293.4166698
0.0,8.6,26/12/2012,296.6075439
0.2,8.7,27/12/2012,256.17406085
0.0,9.0,28/12/2012,296.6075439
0.0,6.25,29/12/2012,285.65863060000004
0.0,6.05,30/12/2012,296.6075439
0.0,6.7,31/12/2012,295.4729666
0.0,5.7,01/01/2013,255.956525
2.4,6.2,02/01/2013,227.08726040000002
0.0,8.3,03/01/2013,292.48161523333334
0.0,7.35,04/01/2013,295.5100706
0.0,8.85,05/01/2013,289.89635930000003
0.0,7.95,06/01/2013,283.9203937
0.0,7.9,07/01/2013,256.3078433
0.0,6.05,08/01/2013,296.6075439
0.0,6.9,09/01/2013,293.16761733333334
0.0,6.2,10/01/2013,282.0716175
10.8,6.0,11/01/2013,287.55791630000004
0.6,4.95,12/01/2013,296.6075439
19.8,5.15,13/01/2013,285.36189029999997
55.3,4.8,14/01/2013,282.46081539999994
4.0,3.95,15/01/2013,227.46675180000003
14.4,1.6,16/01/2013,289.5708477
12.6,1.95,17/01/2013,289.5708477
8.6,0.65,18/01/2013,296.6075439
23.6,1.15,19/01/2013,289.5708477
65.9,7.5,20/01/2013,285.4003997
26.0,4.7,21/01/2013,282.46081539999994
6.0,2.45,22/01/2013,296.6075439
17.8,2.8,23/01/2013,288.00177
3.6,4.2,24/01/2013,283.3420542
0.2,4.55,25/01/2013,292.2808907
0.0,2.5,26/01/2013,296.6075439
0.0,2.25,27/01/2013,296.6075439
6.6,2.15,28/01/2013,296.6075439
0.0,5.3,29/01/2013,273.8512721
0.0,6.3,30/01/2013,275.6707627
0.0,9.05,31/01/2013,296.6075439
0.0,7.95,01/02/2013,283.9203937
22.4,5.55,02/02/2013,282.0379488
9.8,3.05,03/02/2013,285.86901789999996
0.0,2.85,04/02/2013,295.3606553
5.0,4.7,05/02/2013,283.0114659
7.2,3.05,06/02/2013,296.6075439
8.6,1.9,07/02/2013,296.6075439
7.2,2.15,08/02/2013,296.6075439
0.6,0.4,09/02/2013,296.60754390000005
0.0,0.2,10/02/2013,296.60754390000005
42.2,0.3,11/02/2013,289.5708477
14.6,2.6,12/02/2013,288.00177
0.0,3.6,13/02/2013,292.99206025
0.0,4.6,14/02/2013,291.4056994
0.0,3.55,15/02/2013,292.99206025
0.0,5.8,16/02/2013,288.87277136666665
1.2,4.7,17/02/2013,296.6075439
0.4,3.15,18/02/2013,282.38807030000004
0.2,2.9,19/02/2013,290.513619
0.0,3.6,20/02/2013,292.99206025
0.0,3.8,21/02/2013,296.6075439
17.2,4.35,22/02/2013,296.6075439
33.4,4.05,23/02/2013,275.9887048
6.2,2.65,24/02/2013,296.6075439
0.2,4.45,25/02/2013,292.2808907
0.2,4.25,26/02/2013,292.2808907
0.0,5.1,27/02/2013,293.2237942333333
0.0,6.5,28/02/2013,275.6143381
0.0,6.2,01/03/2013,282.0716175
0.0,5.4,02/03/2013,296.6075439
0.0,6.65,03/03/2013,295.4729666
0.0,7.75,04/03/2013,296.6075439
1.4,8.6,05/03/2013,288.6040936
25.8,10.1,06/03/2013,240.5792804
16.4,10.05,07/03/2013,276.5574008
10.7,8.9,08/03/2013,285.9679685
1.2,10.1,09/03/2013,274.39348989999996
16.8,10.15,10/03/2013,276.5574008
30.6,7.95,11/03/2013,296.6075439
29.6,6.7,12/03/2013,296.6075439
27.4,5.05,13/03/2013,285.36189029999997
0.6,5.25,14/03/2013,296.6075439
4.0,2.0,15/03/2013,286.28406789999997
0.0,2.0,16/03/2013,296.6075439
0.4,4.25,17/03/2013,296.6075439
27.3,6.55,18/03/2013,296.6075439
0.0,7.15,19/03/2013,296.6075439
10.6,7.45,20/03/2013,284.27306160000006
2.4,7.6,21/03/2013,282.1848494
0.0,8.75,22/03/2013,296.6075439
0.0,9.4,23/03/2013,261.8903418
0.0,13.6,24/03/2013,285.44382235
34.6,9.15,25/03/2013,282.46081539999994
7.4,7.0,26/03/2013,275.5901356
0.2,8.25,27/03/2013,223.9227733
3.8,7.2,28/03/2013,294.82201410000005
3.0,12.0,29/03/2013,294.782203
21.1,9.35,30/03/2013,288.9345757
26.2,6.8,31/03/2013,240.5792804
4.4,8.45,01/04/2013,191.8933704
45.6,7.0,02/04/2013,281.020619
8.6,6.9,03/04/2013,274.76074750000004
0.0,9.25,04/04/2013,296.6075439
1.6,10.65,05/04/2013,276.47879819999997
0.0,11.65,06/04/2013,253.17335344999998
0.0,11.1,07/04/2013,256.071703
0.0,9.2,08/04/2013,296.6075439
3.2,9.8,09/04/2013,296.6075439
0.0,12.15,10/04/2013,284.16886989999995
0.0,11.75,11/04/2013,201.1240064
0.0,12.75,12/04/2013,295.61341400000003
0.0,13.25,13/04/2013,287.02982569999995
0.0,14.95,14/04/2013,279.97478090000004
0.0,16.05,15/04/2013,227.1598042
0.0,15.15,16/04/2013,282.24088044999996
0.0,15.7,17/04/2013,281.73234813333335
0.0,16.45,18/04/2013,286.385509
0.0,17.55,19/04/2013,247.05257269999998
0.0,13.4,20/04/2013,276.8946238
0.0,10.4,21/04/2013,203.72247040000002
6.6,8.65,22/04/2013,276.50780960000003
0.0,11.05,23/04/2013,248.01801863333336
0.0,15.65,24/04/2013,206.6616075
0.0,18.25,25/04/2013,295.0102957
17.0,17.75,26/04/2013,294.00053379999997
4.8,11.95,27/04/2013,268.20694469999995
0.0,15.65,28/04/2013,206.6616075
0.0,20.75,29/04/2013,275.89721169999996
0.2,21.2,30/04/2013,294.5351649
0.0,21.9,01/05/2013,289.9236996
3.0,17.65,02/05/2013,213.1538985
11.3,18.3,03/05/2013,293.89187010000006
0.0,19.0,04/05/2013,286.2061508
3.6,17.4,05/05/2013,213.1538985
19.1,15.1,06/05/2013,273.79922860000005
8.2,13.5,07/05/2013,275.93793989999995
0.2,13.6,08/05/2013,268.7119371
0.0,15.95,09/05/2013,277.3687139
1.0,16.6,10/05/2013,289.9196703
0.0,15.3,11/05/2013,288.7266617
10.5,14.35,12/05/2013,285.1102184
0.0,14.15,13/05/2013,274.2687412
0.0,14.6,14/05/2013,274.14907569999997
0.0,15.4,15/05/2013,222.63856030000002
10.8,16.45,16/05/2013,224.941935
0.6,13.7,17/05/2013,275.98499439999995
0.0,16.2,18/05/2013,274.10906969999996
0.0,14.0,19/05/2013,227.6734397
0.0,13.35,20/05/2013,276.8946238
10.2,14.9,21/05/2013,285.1102184
4.9,16.9,22/05/2013,294.05386150000004
7.6,13.55,23/05/2013,295.75564219999995
4.0,11.35,24/05/2013,294.7167377
11.0,8.05,25/05/2013,295.1046023
2.8,9.6,26/05/2013,296.6075439
0.0,11.6,27/05/2013,277.4006471
0.0,15.15,28/05/2013,282.24088044999996
10.7,11.85,29/05/2013,273.9198491
10.0,9.75,30/05/2013,285.9679685
19.8,8.7,31/05/2013,296.6075439
8.2,9.5,01/06/2013,274.1222673
4.8,12.8,02/06/2013,268.20694469999995
10.2,13.85,03/06/2013,285.1102184
10.8,13.55,04/06/2013,297.4706399
7.3,14.0,05/06/2013,275.5901356
2.6,16.3,06/06/2013,300.01347789999994
0.8,18.7,07/06/2013,294.5955628
0.0,18.0,08/06/2013,290.2286474
0.0,18.8,09/06/2013,294.8348528
0.2,16.1,10/06/2013,225.6479256
1.4,15.8,11/06/2013,289.7706394
0.0,17.7,12/06/2013,277.0081689
0.0,19.25,13/06/2013,277.0724309
0.0,20.2,14/06/2013,284.9386138
0.0,21.9,15/06/2013,289.9236996
0.0,22.2,16/06/2013,284.21816055
0.0,24.5,17/06/2013,279.9468057
3.6,25.9,18/06/2013,295.81987480000004
0.0,24.95,19/06/2013,215.0094137
0.0,24.9,20/06/2013,283.58123995
0.0,24.15,21/06/2013,294.64468839999995
0.0,22.25,22/06/2013,284.21816055
0.0,21.75,23/06/2013,273.6998817
0.0,18.7,24/06/2013,294.5955628
6.3,17.45,25/06/2013,294.05386150000004
3.6,18.0,26/06/2013,290.2286474
1.0,16.2,27/06/2013,300.01347789999994
0.6,17.5,28/06/2013,226.28798769999997
0.0,16.05,29/06/2013,227.1598042
0.0,17.2,30/06/2013,274.8093921
0.0,19.0,01/07/2013,286.2061508
0.0,20.9,02/07/2013,285.3902438
0.0,20.95,03/07/2013,290.67266995
2.2,17.4,04/07/2013,213.1538985
0.0,21.1,05/07/2013,284.7063083
0.0,22.2,06/07/2013,284.21816055
1.8,21.35,07/07/2013,290.5659398
4.6,20.2,08/07/2013,291.75722169999995
2.6,20.4,09/07/2013,273.7789352
5.4,20.1,10/07/2013,293.5315011
9.5,20.9,11/07/2013,286.9831089
1.6,20.6,12/07/2013,293.5109205
5.8,22.15,13/07/2013,276.9656608
17.2,21.05,14/07/2013,289.0467915
0.0,21.05,15/07/2013,295.02092369999997
0.0,14.8,16/07/2013,265.63859176666665
0.0,22.2,17/07/2013,284.21816055
12.9,21.3,18/07/2013,295.1757454
4.0,20.75,19/07/2013,290.43839280000003
0.0,20.75,20/07/2013,275.89721169999996
1.6,21.75,21/07/2013,294.87708169999996
34.6,22.15,22/07/2013,295.654385
0.0,22.4,23/07/2013,290.5236353
0.6,23.2,24/07/2013,292.9867285
0.0,23.2,25/07/2013,291.6549225
0.0,24.65,26/07/2013,289.46310689999996
7.8,25.7,27/07/2013,288.6436626
0.0,25.9,28/07/2013,295.81987480000004
0.0,26.35,29/07/2013,243.9294081
0.0,22.9,30/07/2013,289.0679475
0.0,23.1,31/07/2013,293.27540654999996
0.0,23.05,01/08/2013,291.36170755
0.0,23.9,02/08/2013,293.55466805
0.0,26.0,03/08/2013,290.9855895
0.0,27.15,04/08/2013,214.73097819999995
0.0,27.85,05/08/2013,216.0797671
0.0,28.25,06/08/2013,279.89574510000006
0.0,27.95,07/08/2013,279.89574510000006
0.0,28.75,08/08/2013,277.0360834
6.5,22.35,09/08/2013,276.9656608
0.0,21.15,10/08/2013,276.998983
4.0,22.45,11/08/2013,290.43839280000003
0.0,23.15,12/08/2013,293.27540654999996
1.6,23.5,13/08/2013,292.9121432
0.6,23.3,14/08/2013,287.67753319999997
0.0,22.55,15/08/2013,290.5679645
10.7,23.2,16/08/2013,288.6436626
0.0,23.3,17/08/2013,291.6549225
0.0,23.4,18/08/2013,291.9331534
0.0,23.65,19/08/2013,292.99084460000006
8.1,19.5,20/08/2013,286.9831089
0.0,21.0,21/08/2013,290.67266995
0.0,22.25,22/08/2013,284.21816055
0.0,23.05,23/08/2013,291.36170755
0.0,21.75,24/08/2013,273.6998817
3.8,19.15,25/08/2013,290.6908883
0.0,21.75,26/08/2013,273.6998817
52.5,19.3,27/08/2013,290.725616
0.2,18.85,28/08/2013,295.1912375
0.0,19.9,29/08/2013,282.96730755
0.0,20.2,30/08/2013,284.9386138
0.0,20.25,31/08/2013,294.4546586
0.0,20.05,01/09/2013,276.35988205
0.6,20.5,02/09/2013,292.24249069999996
0.0,21.15,03/09/2013,276.998983
0.0,21.9,04/09/2013,289.9236996
0.0,21.65,05/09/2013,295.69434110000003
0.4,22.5,06/09/2013,294.439253
9.8,22.2,07/09/2013,288.6436626
0.0,22.15,08/09/2013,291.1634912
5.0,19.3,09/09/2013,291.75722169999995
5.8,17.9,10/09/2013,294.05386150000004
3.6,17.9,11/09/2013,213.1538985
2.2,16.35,12/09/2013,282.8225756
2.4,16.3,13/09/2013,300.01347789999994
0.0,16.9,14/09/2013,266.2391584
23.0,15.75,15/09/2013,273.79922860000005
0.4,17.0,16/09/2013,294.2041201
0.0,15.8,17/09/2013,299.99189900000005
0.0,16.0,18/09/2013,227.1598042
0.0,17.9,19/09/2013,294.5531709
0.0,18.35,20/09/2013,284.8523947
6.1,19.1,21/09/2013,293.5315011
0.2,16.25,22/09/2013,300.01347789999994
0.0,15.2,23/09/2013,285.9932595
0.0,17.3,24/09/2013,274.7366045
0.0,16.65,25/09/2013,292.0609505
0.0,16.95,26/09/2013,276.5038126
0.0,18.0,27/09/2013,290.2286474
0.0,18.65,28/09/2013,293.215641
11.8,18.75,29/09/2013,294.3056068
23.3,16.55,30/09/2013,283.1913106
0.2,16.25,01/10/2013,300.01347789999994
0.0,15.55,02/10/2013,295.4936659
0.2,13.95,03/10/2013,286.5581728
0.0,14.5,04/10/2013,238.95452886666666
46.0,14.2,05/10/2013,296.6075439
28.8,17.95,06/10/2013,273.9063992
0.2,16.25,07/10/2013,300.01347789999994
29.3,14.05,08/10/2013,290.1787921
