Rainfall_Monteporzio,Rainfall_Velletri,Volume_Pozzo_1,Volume_Pozzo_2,Volume_Pozzo_3,Volume_Pozzo_4,Volume_Pozzo_5+6,Volume_Pozzo_7,Volume_Pozzo_8,Volume_Pozzo_9,Temperature_Monteporzio,Temperature_Velletri,Date,Depth_to_Groundwater_Pozzo_1,Depth_to_Groundwater_Pozzo_2,Depth_to_Groundwater_Pozzo_3,Depth_to_Groundwater_Pozzo_4,Depth_to_Groundwater_Pozzo_5,Depth_to_Groundwater_Pozzo_6,Depth_to_Groundwater_Pozzo_7,Depth_to_Groundwater_Pozzo_8,Depth_to_Groundwater_Pozzo_9
12.0,15.8,1608.0716666666667,3604.0744444444445,3296.4977777777776,3675.3577777777778,7617.586111111111,2618.9716666666664,3919.2827777777784,3386.6377777777784,6.7,8.15,19/01/2004,-24.25,-93.17,-110.17,-98.06,-100.46,-91.67,-93.45,-95.07,-94.9
11.4,14.6,1644.0194444444444,3592.253888888889,3217.7699999999995,3672.233333333333,7661.405555555555,2577.0333333333338,3909.474444444445,3351.917777777778,5.7,7.9,20/01/2004,-24.25,-93.17,-110.17,-98.06,-100.46,-91.67,-93.45,-95.07,-94.9
1.6,1.6,996.7938888888889,3317.583333333334,3492.3227777777774,3464.0761111111115,6919.129444444445,2698.3988888888885,3629.6049999999996,3390.3661111111114,3.55,7.9,21/01/2004,-24.84,-91.22,-107.76,-96.23,-97.44,-90.19,-91.84,-93.34,-93.85
0.0,0.0,368.4822222222222,2947.3305555555553,3221.554444444444,3459.7888888888892,7459.7477777777785,2637.2355555555555,3879.7438888888887,3074.201111111111,-0.5,3.35,22/01/2004,-35.89,-96.51,-117.12,-98.39,-101.42,-91.24,-95.25,-97.44,-104.87
0.4,0.0,764.69,3026.8283333333334,3599.0522222222226,3582.922777777778,7733.525000000001,2772.0988888888887,4007.746666666667,3273.143333333333,-0.95,0.6,23/01/2004,-35.89,-96.51,-117.12,-98.39,-101.42,-91.24,-95.25,-97.44,-104.87
0.0,0.0,448.7038888888889,3072.2427777777775,3407.995,3567.807777777778,7789.021666666666,2758.9305555555557,3981.6144444444444,3005.6077777777778,-1.45,1.6,24/01/2004,-35.89,-96.51,-117.12,-98.39,-101.42,-91.24,-95.25,-97.44,-104.87
0.0,0.0,364.62833333333333,2877.931666666667,3074.4077777777775,3127.432777777778,6794.221666666667,2408.668333333333,3500.5294444444444,2837.716111111111,0.5,1.6,25/01/2004,-35.87,-99.6,-114.12,-100.67,-104.14,-93.26,-97.43,-98.62,-92.71
3.2,5.6,824.7427777777779,2964.249444444444,3274.601666666667,3243.818333333333,6736.305,2417.6372222222217,3403.2138888888894,3109.141666666666,1.55,2.7,26/01/2004,-32.9,-94.1,-108.9,-98.13,-100.54,-91.96,-94.5,-96.23,-97.41
10.4,19.4,1097.072222222222,3457.5911111111113,3466.5394444444446,3536.684444444445,7254.97388888889,2677.009444444445,3821.287777777778,3381.917777777778,5.15,6.35,27/01/2004,-37.65,-100.6,-114.8,-101.13,-104.18,-93.62,-97.43,-99.02,-92.98
1.8,4.4,713.7888888888888,3202.086111111111,3647.4044444444444,3457.2183333333332,6910.156666666666,2715.1777777777775,3632.7544444444447,3393.2716666666665,3.0,5.85,28/01/2004,-24.84,-91.22,-107.76,-96.23,-97.44,-90.19,-91.84,-93.34,-93.85
3.4,10.2,714.0094444444444,3164.7155555555555,3370.317222222222,3379.7683333333334,7188.376666666666,2619.611666666666,3549.391666666666,3199.603888888889,2.2,4.35,29/01/2004,-24.84,-91.22,-107.76,-96.23,-97.44,-90.19,-91.84,-93.34,-93.85
1.2,3.6,915.4577777777779,3550.727777777778,4033.895,3675.573888888889,7126.995555555554,2770.895555555556,3862.5933333333337,3674.2205555555547,1.2,3.85,30/01/2004,-33.38,-92.94,-107.88,-97.22,-99.64,-91.3,-93.63,-94.66,-97.02
0.2,0.0,772.4944444444445,3202.325555555555,3545.5855555555554,3540.5050000000006,7094.198333333333,2630.75,3870.102222222222,3363.930555555556,3.5,4.5,31/01/2004,-24.84,-91.22,-107.76,-96.23,-97.44,-90.19,-91.84,-93.34,-93.85
0.0,0.0,879.9888888888889,3469.8244444444445,3328.548333333333,3651.247777777778,7996.756666666668,2797.2144444444443,4041.0005555555554,3202.932777777778,4.75,6.5,01/02/2004,-34.85,-97.93,-117.72,-100.1,-102.6,-92.21,-96.75,-98.42,-105.28
0.0,0.0,967.2333333333333,2804.0861111111117,3283.456666666667,3408.043888888889,7432.148888888889,2683.217777777778,3867.3744444444437,3024.2438888888887,6.1,8.1,02/02/2004,-35.89,-96.51,-117.12,-98.39,-101.42,-91.24,-95.25,-97.44,-104.87
0.0,0.0,814.4027777777778,3496.5244444444447,3347.3416666666662,3648.567777777778,7934.6227777777785,2788.044444444445,4032.326666666666,3200.945,7.25,10.4,03/02/2004,-24.29,-93.16,-110.17,-98.06,-100.46,-91.67,-93.45,-95.08,-94.9
0.0,0.0,849.8955555555555,2909.6822222222218,3393.9133333333334,3397.436111111111,7414.663333333334,2655.1,3832.6994444444445,3040.2055555555553,12.65,12.65,04/02/2004,-35.89,-96.51,-117.12,-98.39,-101.42,-91.24,-95.25,-97.44,-104.87
0.0,0.0,860.4111111111112,3047.036111111111,3533.7349999999997,3576.523888888889,7805.049444444444,2796.16,4036.5416666666665,3191.5394444444446,7.85,8.65,05/02/2004,-35.89,-96.51,-117.12,-98.39,-101.42,-91.24,-95.25,-97.44,-104.87
0.2,0.2,1090.4994444444446,3595.722222222222,3018.4822222222224,3714.497777777777,7898.186666666666,2778.893888888889,4048.236666666666,3158.708888888889,6.15,8.95,06/02/2004,-29.0,-98.51,-115.54,-100.58,-103.09,-92.46,-96.84,-97.61,-89.39
0.0,0.0,905.3594444444444,2888.313888888889,3201.908333333333,3144.4966666666664,6807.417222222222,2425.9638888888894,3490.127222222222,2839.1183333333333,6.35,7.55,07/02/2004,-35.87,-99.6,-114.12,-100.67,-104.14,-93.26,-97.43,-98.62,-92.71
0.6,5.2,1071.461111111111,3235.8811111111113,3516.082222222222,3453.6922222222224,7042.878333333333,2539.24,3596.1183333333333,3271.7372222222225,8.4,10.6,08/02/2004,-29.09,-94.06,-112.25,-98.25,-100.71,-92.05,-94.36,-96.15,-96.58
0.0,0.0,1007.5188888888887,2901.874444444444,3415.0516666666667,3401.4488888888895,7424.790555555556,2668.2477777777776,3847.1888888888893,3045.597222222222,7.75,10.7,09/02/2004,-35.89,-96.51,-117.12,-98.39,-101.42,-91.24,-95.25,-97.44,-104.87
0.0,0.0,477.9316666666667,3082.0877777777773,3543.6666666666665,3571.9583333333335,7797.713888888889,2784.9494444444445,4019.1433333333334,3205.259444444445,6.65,8.15,10/02/2004,-24.84,-91.22,-107.76,-96.23,-97.44,-90.19,-91.84,-93.34,-93.85
6.2,5.0,1071.3761111111114,3074.0155555555557,3141.311666666667,3273.6916666666666,6932.535555555555,2445.597777777778,3446.3361111111108,3034.0872222222224,6.05,6.0,11/02/2004,-32.9,-94.1,-108.9,-98.13,-100.54,-91.96,-94.5,-96.23,-97.41
0.0,0.2,1262.5216666666665,3396.9083333333333,3419.6322222222225,3436.0761111111115,7037.685555555556,2375.036111111111,3713.146111111111,3301.9161111111116,4.6,7.45,12/02/2004,-34.84,-93.65,-113.41,-97.99,-100.36,-91.72,-93.97,-95.64,-93.3
0.0,0.0,560.7777777777778,3162.533888888889,3566.3183333333336,3657.216111111111,7970.467777777779,2852.3338888888884,4116.483333333334,3236.682777777778,2.65,4.05,13/02/2004,-28.2,-93.45,-112.87,-97.95,-100.26,-91.72,-93.85,-95.53,-95.98
0.0,0.0,625.3527777777778,2647.3277777777776,2967.216111111111,3144.6366666666668,6867.098333333332,2435.5955555555556,3532.821666666667,2763.6094444444443,4.5,17.861111111111114,14/02/2004,-35.87,-99.6,-114.12,-100.67,-104.14,-93.26,-97.43,-98.62,-92.71
0.0,0.0,980.8500000000001,3357.772222222222,3356.5922222222225,3659.6994444444445,8013.8550000000005,2835.057777777778,4077.8544444444447,3170.806666666667,7.25,10.1,15/02/2004,-38.39,-97.93,-117.72,-100.08,-102.57,-92.19,-96.73,-98.38,-105.39
0.0,0.0,835.4872222222223,3402.4366666666665,3321.657777777778,3644.545555555555,7993.598333333334,2659.815,4027.7199999999993,3228.6661111111107,7.0,9.1,16/02/2004,-29.0,-94.06,-112.25,-98.21,-100.71,-92.03,-94.4,-96.14,-96.59
0.0,0.0,852.5977777777778,3281.331666666667,3385.9438888888885,3654.1972222222225,7991.03388888889,2815.8344444444447,4045.415000000001,3183.022777777778,5.95,7.65,17/02/2004,-28.2,-93.45,-112.87,-97.95,-100.26,-91.72,-93.85,-95.53,-95.98
0.4,0.4,1891.2238888888887,3285.875,2903.410555555556,3690.597222222222,7606.078333333334,2525.354444444444,3994.392777777778,3118.2094444444447,5.15,6.8,18/02/2004,-32.9,-94.1,-108.9,-98.13,-100.54,-91.96,-94.5,-96.23,-97.41
82.8,97.0,1070.528888888889,3547.783888888889,3308.1000000000004,3619.862222222222,7656.01111111111,2794.2916666666665,3814.111666666666,3334.7694444444446,6.0,7.55,19/02/2004,-24.25,-93.17,-110.17,-98.06,-100.46,-91.67,-93.45,-95.07,-94.9
0.0,3.0,1181.8122222222223,3593.3844444444444,3653.656111111111,3647.337222222222,7338.582777777778,2496.318333333333,3950.19,3530.282222222222,10.95,13.0,20/02/2004,-44.57,-100.79,-115.99,-101.64,-104.12,-93.45,-95.82,-102.34,-94.15
12.0,3.2,844.7194444444444,3096.4955555555553,3208.2677777777776,3251.1672222222223,6739.7138888888885,2500.9816666666666,3468.851666666667,3078.249444444444,12.8,14.95,21/02/2004,-41.08,-99.23,-114.21,-100.81,-103.46,-92.85,-96.91,-98.75,-92.34
20.8,20.977777777777778,1434.2983333333332,3646.1466666666665,3218.434444444445,3703.356111111111,7609.748333333333,2555.760555555555,3907.451666666667,3254.2138888888885,10.35,12.051111111111112,22/02/2004,-21.76,-92.83,-111.62,-97.76,-99.85,-91.43,-93.23,-95.04,-90.77
8.2,7.4,1701.76,3492.807777777778,3211.5172222222227,3550.058888888889,7259.366666666667,2320.81,3597.5161111111106,3216.282222222222,8.5,10.6,23/02/2004,-24.66,-93.13,-112.45,-97.88,-100.18,-91.61,-93.61,-95.29,-95.44
6.2,8.4,1542.5094444444444,3379.3533333333335,3235.01,3484.868333333334,7100.363888888888,2478.097777777778,3496.126111111111,3160.68,5.3,6.45,24/02/2004,-30.57,-93.74,-113.69,-97.97,-100.35,-91.78,-94.06,-95.72,-96.45
5.6,3.2,1150.4594444444444,3163.2394444444444,3105.1322222222225,3285.3461111111114,6957.569444444444,2455.496666666667,3464.3166666666666,3035.4477777777774,4.55,6.8,25/02/2004,-32.9,-94.1,-108.9,-98.13,-100.54,-91.96,-94.5,-96.23,-97.41
5.2,5.8,1111.2650000000003,3278.5322222222226,3063.2872222222227,3453.7088888888893,7297.524444444444,2657.4055555555556,3643.2261111111115,3216.023333333333,8.25,10.2,26/02/2004,-24.84,-91.22,-107.76,-96.23,-97.44,-90.19,-91.84,-93.34,-93.85
0.4,0.6,1629.6477777777777,3602.9366666666665,3118.9561111111116,3646.7261111111106,7280.291111111111,2337.545,3875.207777777777,3272.4505555555556,4.8,6.65,27/02/2004,-28.593599999999995,-90.7108,-107.51999999999998,-95.33319999999999,-99.70319999999998,-89.26599999999999,-97.35359999999997,-93.00439999999999,-93.89160000000001
9.2,11.4,1586.4444444444446,3405.6250000000005,3043.6961111111104,3458.033888888889,7202.985555555555,2450.1211111111115,3668.761111111111,3154.209444444444,2.7,5.3,28/02/2004,-30.57,-93.74,-113.69,-97.97,-100.35,-91.78,-94.06,-95.72,-96.45
7.2,6.0,1293.5688888888892,3146.797222222222,3207.4494444444445,3287.9255555555555,6791.812222222222,2338.7733333333335,3281.711666666667,3112.6400000000003,2.8,4.65,29/02/2004,-32.9,-94.1,-108.9,-98.13,-100.54,-91.96,-94.5,-96.23,-97.41
12.8,12.4,1385.623888888889,3542.94,3295.503888888889,3617.797222222222,7446.163888888889,2616.541111111111,3872.003333333333,3414.7333333333336,2.15,4.2,01/03/2004,-24.25,-93.17,-110.17,-98.06,-100.46,-91.67,-93.45,-95.07,-94.9
1.0,0.2,527.9744444444445,3460.0172222222222,3798.236666666666,3658.957777777777,7534.604444444443,2866.2111111111108,3902.671111111112,3469.1238888888893,3.0,5.85,02/03/2004,-28.6,-98.44,-114.7,-100.6,-103.09,-93.42,-96.08,-97.58,-88.96
0.0,0.0,326.3672222222222,2771.209444444444,2928.2005555555556,3039.903888888889,6548.157777777777,2340.2761111111104,3381.54,2731.7194444444444,3.35,6.4,03/03/2004,-35.87,-99.6,-114.12,-100.67,-104.14,-93.26,-97.43,-98.62,-92.71
0.0,0.0,969.0372222222221,2841.5022222222224,3418.6027777777776,3357.7905555555553,7316.289444444444,2606.567222222222,3751.5833333333326,3012.1616666666664,6.4,7.65,04/03/2004,-35.89,-96.51,-117.12,-98.39,-101.42,-91.24,-95.25,-97.44,-104.87
0.0,0.0,682.8333333333333,3369.621111111111,3320.183888888889,3649.6611111111106,7908.086111111112,2835.2233333333334,4042.4861111111113,3222.8544444444447,6.65,7.75,05/03/2004,-29.0,-94.06,-112.25,-98.21,-100.71,-92.03,-94.4,-96.14,-96.59
0.0,0.0,514.9977777777777,2874.682222222222,3382.167222222223,3401.946111111111,7422.217777777779,2667.9455555555555,3848.3933333333334,3026.8833333333337,6.55,8.3,06/03/2004,-35.89,-96.51,-117.12,-98.39,-101.42,-91.24,-95.25,-97.44,-104.87
44.6,36.6,1187.4383333333335,3360.4966666666664,3367.9,3563.3938888888893,7265.528333333333,2553.402777777778,3592.5966666666664,3301.5355555555557,6.4,8.45,07/03/2004,-34.56,-93.64,-113.51,-98.0,-100.35,-91.7,-93.96,-95.62,-96.2
5.6,6.2,1183.211111111111,3092.409444444444,3253.995,3286.593888888888,6785.778333333333,2380.3272222222226,3315.9577777777777,3116.081666666667,4.3,6.95,08/03/2004,-32.9,-94.1,-108.9,-98.13,-100.54,-91.96,-94.5,-96.23,-97.41
0.0,0.0,453.27555555555546,3364.5177777777776,3257.795,3639.8694444444445,7973.75,2814.287222222222,4001.8399999999997,3241.551111111111,3.6,6.2,09/03/2004,-28.2,-93.45,-112.87,-97.95,-100.26,-91.72,-93.85,-95.53,-95.98
0.0,0.0,287.6783333333334,3342.3366666666666,3202.394444444444,3650.8416666666662,8012.924444444445,2842.055,4012.6177777777775,3253.1294444444443,4.0,5.4,10/03/2004,-34.85,-97.93,-117.72,-100.1,-102.6,-92.21,-96.75,-98.42,-105.28
13.4,8.8,1429.98,3548.3900000000003,3524.6161111111114,3619.823888888889,7331.868333333332,2562.181666666667,3760.0355555555557,3375.613888888889,4.45,6.35,11/03/2004,-34.56,-93.64,-113.51,-98.0,-100.35,-91.7,-93.96,-95.62,-96.2
0.0,0.0,912.3611111111111,2998.2383333333332,3415.739444444445,3400.8594444444443,7424.838888888889,2669.3394444444443,3846.6644444444446,3047.035,7.5,8.0,12/03/2004,-35.89,-96.51,-117.12,-98.39,-101.42,-91.24,-95.25,-97.44,-104.87
0.0,0.0,648.5838888888889,2940.888333333334,3218.9772222222223,3395.1061111111107,7318.539444444444,2593.9416666666666,3819.1177777777775,3005.0355555555557,9.85,10.25,13/03/2004,-35.89,-96.51,-117.12,-98.39,-101.42,-91.24,-95.25,-97.44,-104.87
0.0,0.0,541.9100000000001,3133.028333333333,3617.3888888888887,3491.345555555555,7618.353333333333,2704.5277777777783,3917.235555555556,3164.56,11.45,11.55,14/03/2004,-24.84,-91.22,-107.76,-96.23,-97.44,-90.19,-91.84,-93.34,-93.85
0.0,0.0,633.1116666666667,2936.3900000000003,3128.922777777778,3350.5333333333333,7231.791666666668,2532.83,3751.737777777778,3000.155555555555,11.25,13.5,15/03/2004,-29.09,-98.64,-115.62,-100.58,-103.09,-92.47,-96.87,-97.7,-90.31
0.0,0.0,727.186111111111,3195.8488888888887,3336.6200000000003,3650.101666666666,7974.688333333334,2772.352777777777,4046.3250000000003,3215.7677777777776,12.65,13.4,16/03/2004,-23.66,-93.15,-109.56,-98.09,-100.53,-91.67,-93.4,-95.07,-89.9
0.0,0.0,977.9011111111109,2588.6494444444447,2675.5272222222225,2853.596111111111,6093.703333333333,2190.737777777778,3175.628888888889,2509.987777777778,13.65,13.75,17/03/2004,-44.93,-100.18,-115.08,-101.06,-103.58,-93.06,-96.4,-100.81,-92.8
0.0,0.2,1145.6155555555554,3570.5022222222224,3926.1583333333338,3610.6422222222227,7197.732777777778,2594.687777777778,3910.1994444444445,3588.0738888888886,11.05,11.9,18/03/2004,-33.63,-93.21,-108.18,-97.88,-99.93,-91.43,-93.84,-95.03,-97.71
0.0,0.2,1351.943888888889,3360.340555555556,3711.0822222222228,3393.9161111111116,6778.955,2386.012222222222,3669.599444444445,3311.1022222222223,8.8,11.3,19/03/2004,-29.09,-94.06,-112.25,-98.25,-100.71,-92.05,-94.36,-96.15,-96.58
0.0,0.0,648.5838888888889,2847.273333333333,3023.807222222222,3120.680555555555,6818.856666666666,2361.0344444444445,3441.891666666667,2821.8922222222222,9.35,11.3,20/03/2004,-45.64,-99.96,-115.52,-100.9,-103.58,-93.05,-97.25,-100.9,-93.67
0.0,1.4,1757.437777777778,3568.9222222222215,4039.3922222222222,3611.844444444445,7001.198888888889,2769.4983333333334,3924.9716666666664,3586.792777777778,9.85,10.65,21/03/2004,-33.38,-92.94,-107.88,-97.22,-99.64,-91.3,-93.63,-94.66,-97.02
2.4,4.8,1176.2322222222222,3318.490555555556,3223.360555555556,3508.587777777778,7330.218333333333,2522.692777777778,3762.3777777777777,3182.3500000000004,9.75,11.1,22/03/2004,-34.47,-93.65,-113.47,-97.99,-100.37,-91.73,-93.97,-95.64,-93.48
10.8,10.6,1599.5022222222224,3599.078888888889,3127.163888888889,3673.781111111111,7634.544444444444,2615.128333333333,3839.467777777778,3259.6733333333336,6.15,8.7,23/03/2004,-24.25,-93.17,-110.17,-98.06,-100.46,-91.67,-93.45,-95.07,-94.9
8.6,13.4,2091.7100000000005,3489.9194444444447,2783.521111111111,3566.329444444445,7415.495555555554,2344.667777777778,3681.477777777777,3027.7994444444444,5.6,7.6,24/03/2004,-33.58,-93.26,-108.22,-97.41,-99.97,-91.51,-93.9,-95.33,-97.49
0.6,0.0,563.1127777777779,2865.3822222222225,3450.4472222222225,3429.500555555556,7311.437222222224,2714.4394444444442,3891.855,3070.3816666666667,6.85,8.4,25/03/2004,-35.89,-96.51,-117.12,-98.39,-101.42,-91.24,-95.25,-97.44,-104.87
0.6,0.0,458.33666666666676,2833.217777777778,3177.6655555555562,3317.465555555556,7246.908888888888,2603.740555555555,3750.2672222222222,2903.894444444444,6.3,8.85,26/03/2004,-35.87,-99.6,-114.12,-100.67,-104.14,-93.26,-97.43,-98.62,-92.71
0.2,0.0,1153.665,3059.96,3635.1566666666668,3671.216111111112,7232.486666666667,2784.5588888888883,4062.8777777777777,3444.6822222222227,6.6,8.7,27/03/2004,-30.56,-94.15,-113.5,-98.25,-100.67,-92.02,-94.48,-96.2,-96.75
0.0,0.0,364.62833333333333,3128.775,3394.3727777777776,3554.735555555556,7763.012777777777,2719.7205555555556,3920.5444444444447,3044.043888888889,8.6,11.95,28/03/2004,-24.84,-91.22,-107.76,-96.23,-97.44,-90.19,-91.84,-93.34,-93.85
0.0,0.0,300.6161111111111,3034.378333333333,3556.158888888889,3658.278333333333,7894.241666666667,2849.9533333333334,4117.437777777779,3236.9272222222226,10.2,13.5,29/03/2004,-23.66,-93.15,-109.56,-98.09,-100.53,-91.67,-93.4,-95.07,-89.9
0.0,0.0,365.41055555555556,2940.6905555555554,3387.415,3394.4383333333335,7332.047222222222,2641.3511111111115,3816.4538888888887,3052.5633333333335,10.2,12.05,30/03/2004,-35.89,-96.51,-117.12,-98.39,-101.42,-91.24,-95.25,-97.44,-104.87
35.2,34.2,1576.687,3460.8074444444446,3165.488,3528.1574444444445,7345.649999999999,2424.867222222222,3666.414666666666,3153.2457777777777,12.5,14.15,31/03/2004,-30.32,-90.94,-107.21,-95.74,-96.63,-89.97,-91.7,-92.54,-94.35
5.8,4.2,1093.1583333333335,3108.253333333333,3282.286111111111,3297.8711111111106,6798.777777777777,2450.1000000000004,3418.0299999999997,3092.375,11.5,14.2,01/04/2004,-41.08,-99.23,-114.21,-100.81,-103.46,-92.85,-96.91,-98.75,-92.34
0.0,0.2,1457.5316666666668,3373.894444444444,3775.69,3402.0244444444443,6712.692222222223,2509.2338888888885,3682.156111111111,3349.152777777778,12.05,13.45,02/04/2004,-23.1,-93.46,-110.34,-98.23,-100.65,-91.84,-93.93,-95.64,-95.39
0.0,0.0,292.34,2779.432222222222,3160.042777777778,3348.5544444444445,7213.925555555556,2564.8999999999996,3776.3255555555556,2945.999444444444,11.7,13.6,03/04/2004,-35.89,-96.51,-117.12,-98.39,-101.42,-91.24,-95.25,-97.44,-104.87
0.2,0.0,1577.6722222222224,3075.938888888889,3446.268888888889,3330.23,7202.8422222222225,2577.065,3627.295555555556,3163.561111111111,11.5,13.35,04/04/2004,-35.89,-96.51,-117.12,-98.39,-101.42,-91.24,-95.25,-97.44,-104.87
0.0,0.2,819.6199999999999,3546.9611111111108,3891.192222222222,3667.6944444444443,7125.541111111112,2629.9244444444444,3979.227777777778,3602.843888888889,10.5,11.7,05/04/2004,-33.63,-93.21,-108.18,-97.88,-99.93,-91.43,-93.84,-95.03,-97.71
0.2,0.0,778.0611111111111,3254.962222222222,3129.6800000000003,3370.2122222222224,7170.265555555556,2467.387222222222,3695.6644444444446,3096.6966666666667,9.8,12.4,06/04/2004,-24.66,-93.13,-112.45,-97.88,-100.18,-91.61,-93.61,-95.29,-95.44
0.4,1.2,1560.4966666666664,3330.670555555555,3634.557777777778,3463.61,6646.117777777778,2649.5316666666663,3757.298333333334,3345.8338888888884,8.25,10.7,07/04/2004,-24.84,-91.22,-107.76,-96.23,-97.44,-90.19,-91.84,-93.34,-93.85
0.0,0.0,648.5838888888889,3487.6294444444447,3269.282777777778,3624.0172222222222,7787.653888888888,2766.1094444444443,3964.0299999999997,3250.6494444444447,8.95,10.75,08/04/2004,-30.56,-94.15,-113.5,-98.25,-100.67,-92.02,-94.48,-96.2,-96.75
