Rainfall_Terni,Date,Flow_Rate_Lupa
2.763,14/02/2009,-169.5481026909366
2.763,15/02/2009,-169.5481026909366
2.763,16/02/2009,-169.5481026909366
2.763,17/02/2009,-169.5481026909366
2.763,18/02/2009,-169.5481026909366
2.763,19/02/2009,-169.5481026909366
2.763,20/02/2009,-169.5481026909366
2.763,21/02/2009,-169.5481026909366
2.763,22/02/2009,-169.5481026909366
2.763,23/02/2009,-169.5481026909366
2.763,24/02/2009,-169.5481026909366
2.763,25/02/2009,-169.5481026909366
2.763,26/02/2009,-169.5481026909366
2.763,27/02/2009,-169.5481026909366
2.763,28/02/2009,-169.5481026909366
2.076,01/03/2009,-179.7481672687819
2.076,02/03/2009,-179.7481672687819
2.076,03/03/2009,-179.7481672687819
2.076,04/03/2009,-179.7481672687819
2.076,05/03/2009,-179.7481672687819
2.076,06/03/2009,-179.7481672687819
2.076,07/03/2009,-179.7481672687819
2.076,08/03/2009,-179.7481672687819
2.076,09/03/2009,-179.7481672687819
2.076,10/03/2009,-179.7481672687819
2.076,11/03/2009,-179.7481672687819
2.076,12/03/2009,-179.7481672687819
2.076,13/03/2009,-179.7481672687819
2.076,14/03/2009,-179.7481672687819
2.076,15/03/2009,-179.7481672687819
2.076,16/03/2009,-179.7481672687819
2.076,17/03/2009,-179.7481672687819
2.076,18/03/2009,-179.7481672687819
2.076,19/03/2009,-179.7481672687819
2.076,20/03/2009,-179.7481672687819
2.076,21/03/2009,-179.7481672687819
2.076,22/03/2009,-179.7481672687819
2.076,23/03/2009,-179.7481672687819
2.076,24/03/2009,-179.7481672687819
2.076,25/03/2009,-179.7481672687819
2.076,26/03/2009,-179.7481672687819
2.076,27/03/2009,-179.7481672687819
2.076,28/03/2009,-179.7481672687819
2.076,29/03/2009,-179.7481672687819
2.076,30/03/2009,-179.7481672687819
2.076,31/03/2009,-179.7481672687819
2.79,01/04/2009,-180.17764259448882
2.79,02/04/2009,-180.17764259448882
2.79,03/04/2009,-180.17764259448882
2.79,04/04/2009,-180.17764259448882
2.79,05/04/2009,-180.17764259448882
2.79,06/04/2009,-180.17764259448882
2.79,07/04/2009,-180.17764259448882
2.79,08/04/2009,-180.17764259448882
2.79,09/04/2009,-180.17764259448882
2.79,10/04/2009,-180.17764259448882
2.79,11/04/2009,-180.17764259448882
2.79,12/04/2009,-180.17764259448882
2.79,13/04/2009,-180.17764259448882
2.79,14/04/2009,-180.17764259448882
2.79,15/04/2009,-180.17764259448882
2.79,16/04/2009,-180.17764259448882
2.79,17/04/2009,-180.17764259448882
2.79,18/04/2009,-180.17764259448882
2.79,19/04/2009,-180.17764259448882
2.79,20/04/2009,-180.17764259448882
2.79,21/04/2009,-180.17764259448882
2.79,22/04/2009,-180.17764259448882
2.79,23/04/2009,-180.17764259448882
2.79,24/04/2009,-180.17764259448882
2.79,25/04/2009,-180.17764259448882
2.79,26/04/2009,-180.17764259448882
2.79,27/04/2009,-180.17764259448882
2.79,28/04/2009,-180.17764259448882
2.79,29/04/2009,-180.17764259448882
2.79,30/04/2009,-180.17764259448882
1.139,01/05/2009,-153.39062845030455
1.139,02/05/2009,-153.39062845030455
1.139,03/05/2009,-153.39062845030455
1.139,04/05/2009,-153.39062845030455
1.139,05/05/2009,-153.39062845030455
1.139,06/05/2009,-153.39062845030455
1.139,07/05/2009,-153.39062845030455
1.139,08/05/2009,-153.39062845030455
1.139,09/05/2009,-153.39062845030455
1.139,10/05/2009,-153.39062845030455
1.139,11/05/2009,-153.39062845030455
1.139,12/05/2009,-153.39062845030455
1.139,13/05/2009,-153.39062845030455
1.139,14/05/2009,-153.39062845030455
1.139,15/05/2009,-153.39062845030455
1.139,16/05/2009,-153.39062845030455
1.139,17/05/2009,-153.39062845030455
1.139,18/05/2009,-153.39062845030455
1.139,19/05/2009,-153.39062845030455
1.139,20/05/2009,-153.39062845030455
1.139,21/05/2009,-153.39062845030455
1.139,22/05/2009,-153.39062845030455
1.139,23/05/2009,-153.39062845030455
1.139,24/05/2009,-153.39062845030455
1.139,25/05/2009,-153.39062845030455
1.139,26/05/2009,-153.39062845030455
1.139,27/05/2009,-153.39062845030455
1.139,28/05/2009,-153.39062845030455
1.139,29/05/2009,-153.39062845030455
1.139,30/05/2009,-153.39062845030455
1.139,31/05/2009,-153.39062845030455
3.062,01/06/2009,-146.58306736065987
3.062,02/06/2009,-146.58306736065987
3.062,03/06/2009,-146.58306736065987
3.062,04/06/2009,-146.58306736065987
3.062,05/06/2009,-146.58306736065987
3.062,06/06/2009,-146.58306736065987
3.062,07/06/2009,-146.58306736065987
3.062,08/06/2009,-146.58306736065987
3.062,09/06/2009,-146.58306736065987
3.062,10/06/2009,-146.58306736065987
3.062,11/06/2009,-146.58306736065987
3.062,12/06/2009,-146.58306736065987
3.062,13/06/2009,-146.58306736065987
3.062,14/06/2009,-146.58306736065987
3.062,15/06/2009,-146.58306736065987
3.062,16/06/2009,-146.58306736065987
3.062,17/06/2009,-146.58306736065987
3.062,18/06/2009,-146.58306736065987
3.062,19/06/2009,-146.58306736065987
3.062,20/06/2009,-146.58306736065987
3.062,21/06/2009,-146.58306736065987
3.062,22/06/2009,-146.58306736065987
3.062,23/06/2009,-146.58306736065987
3.062,24/06/2009,-146.58306736065987
3.062,25/06/2009,-146.58306736065987
3.062,26/06/2009,-146.58306736065987
3.062,27/06/2009,-146.58306736065987
3.062,28/06/2009,-146.58306736065987
3.062,29/06/2009,-146.58306736065987
3.062,30/06/2009,-146.58306736065987
1.276,01/07/2009,-127.1404035296542
1.276,02/07/2009,-127.1404035296542
1.276,03/07/2009,-127.1404035296542
1.276,04/07/2009,-127.1404035296542
1.276,05/07/2009,-127.1404035296542
1.276,06/07/2009,-127.1404035296542
1.276,07/07/2009,-127.1404035296542
1.276,08/07/2009,-127.1404035296542
1.276,09/07/2009,-127.1404035296542
1.276,10/07/2009,-127.1404035296542
1.276,11/07/2009,-127.1404035296542
1.276,12/07/2009,-127.1404035296542
1.276,13/07/2009,-127.1404035296542
1.276,14/07/2009,-127.1404035296542
1.276,15/07/2009,-127.1404035296542
1.276,16/07/2009,-127.1404035296542
1.276,17/07/2009,-127.1404035296542
1.276,18/07/2009,-127.1404035296542
1.276,19/07/2009,-127.1404035296542
1.276,20/07/2009,-127.1404035296542
1.276,21/07/2009,-127.1404035296542
1.276,22/07/2009,-127.1404035296542
1.276,23/07/2009,-127.1404035296542
1.276,24/07/2009,-127.1404035296542
1.276,25/07/2009,-127.1404035296542
1.276,26/07/2009,-127.1404035296542
1.276,27/07/2009,-127.1404035296542
1.276,28/07/2009,-127.1404035296542
1.276,29/07/2009,-127.1404035296542
1.276,30/07/2009,-127.1404035296542
1.276,31/07/2009,-127.1404035296542
0.95,01/08/2009,-105.15412508691439
0.95,02/08/2009,-105.15412508691439
0.95,03/08/2009,-105.15412508691439
0.95,04/08/2009,-105.15412508691439
0.95,05/08/2009,-105.15412508691439
0.95,06/08/2009,-105.15412508691439
0.95,07/08/2009,-105.15412508691439
0.95,08/08/2009,-105.15412508691439
0.95,09/08/2009,-105.15412508691439
0.95,10/08/2009,-105.15412508691439
0.95,11/08/2009,-105.15412508691439
0.95,12/08/2009,-105.15412508691439
0.95,13/08/2009,-105.15412508691439
0.95,14/08/2009,-105.15412508691439
0.95,15/08/2009,-105.15412508691439
0.95,16/08/2009,-105.15412508691439
0.95,17/08/2009,-105.15412508691439
0.95,18/08/2009,-105.15412508691439
0.95,19/08/2009,-105.15412508691439
0.95,20/08/2009,-105.15412508691439
0.95,21/08/2009,-105.15412508691439
0.95,22/08/2009,-105.15412508691439
0.95,23/08/2009,-105.15412508691439
0.95,24/08/2009,-105.15412508691439
0.95,25/08/2009,-105.15412508691439
0.95,26/08/2009,-105.15412508691439
0.95,27/08/2009,-105.15412508691439
0.95,28/08/2009,-105.15412508691439
0.95,29/08/2009,-105.15412508691439
0.95,30/08/2009,-105.15412508691439
0.95,31/08/2009,-105.15412508691439
3.57,01/09/2009,-92.99712210894691
3.57,02/09/2009,-92.99712210894691
3.57,03/09/2009,-92.99712210894691
3.57,04/09/2009,-92.99712210894691
3.57,05/09/2009,-92.99712210894691
3.57,06/09/2009,-92.99712210894691
3.57,07/09/2009,-92.99712210894691
3.57,08/09/2009,-92.99712210894691
3.57,09/09/2009,-92.99712210894691
3.57,10/09/2009,-92.99712210894691
3.57,11/09/2009,-92.99712210894691
3.57,12/09/2009,-92.99712210894691
3.57,13/09/2009,-92.99712210894691
3.57,14/09/2009,-92.99712210894691
3.57,15/09/2009,-92.99712210894691
3.57,16/09/2009,-92.99712210894691
3.57,17/09/2009,-92.99712210894691
3.57,18/09/2009,-92.99712210894691
3.57,19/09/2009,-92.99712210894691
3.57,20/09/2009,-92.99712210894691
3.57,21/09/2009,-92.99712210894691
3.57,22/09/2009,-92.99712210894691
3.57,23/09/2009,-92.99712210894691
3.57,24/09/2009,-92.99712210894691
3.57,25/09/2009,-92.99712210894691
3.57,26/09/2009,-92.99712210894691
3.57,27/09/2009,-92.99712210894691
3.57,28/09/2009,-92.99712210894691
3.57,29/09/2009,-92.99712210894691
3.57,30/09/2009,-92.99712210894691
2.562,01/10/2009,-81.7938585586015
2.562,02/10/2009,-81.7938585586015
2.562,03/10/2009,-81.7938585586015
2.562,04/10/2009,-81.7938585586015
2.562,05/10/2009,-81.7938585586015
2.562,06/10/2009,-81.7938585586015
2.562,07/10/2009,-81.7938585586015
2.562,08/10/2009,-81.7938585586015
2.562,09/10/2009,-81.7938585586015
2.562,10/10/2009,-81.7938585586015
2.562,11/10/2009,-81.7938585586015
2.562,12/10/2009,-81.7938585586015
2.562,13/10/2009,-81.7938585586015
2.562,14/10/2009,-81.7938585586015
2.562,15/10/2009,-81.7938585586015
2.562,16/10/2009,-81.7938585586015
2.562,17/10/2009,-81.7938585586015
2.562,18/10/2009,-81.7938585586015
2.562,19/10/2009,-81.7938585586015
2.562,20/10/2009,-81.7938585586015
2.562,21/10/2009,-81.7938585586015
2.562,22/10/2009,-81.7938585586015
2.562,23/10/2009,-81.7938585586015
2.562,24/10/2009,-81.7938585586015
2.562,25/10/2009,-81.7938585586015
2.562,26/10/2009,-81.7938585586015
2.562,27/10/2009,-81.7938585586015
2.562,28/10/2009,-81.7938585586015
2.562,29/10/2009,-81.7938585586015
2.562,30/10/2009,-81.7938585586015
2.562,31/10/2009,-81.7938585586015
4.0569999999999995,01/11/2009,-92.26511842961732
4.0569999999999995,02/11/2009,-92.26511842961732
4.0569999999999995,03/11/2009,-92.26511842961732
4.0569999999999995,04/11/2009,-92.26511842961732
4.0569999999999995,05/11/2009,-92.26511842961732
4.0569999999999995,06/11/2009,-92.26511842961732
4.0569999999999995,07/11/2009,-92.26511842961732
4.0569999999999995,08/11/2009,-92.26511842961732
4.0569999999999995,09/11/2009,-92.26511842961732
4.0569999999999995,10/11/2009,-92.26511842961732
4.0569999999999995,11/11/2009,-92.26511842961732
4.0569999999999995,12/11/2009,-92.26511842961732
4.0569999999999995,13/11/2009,-92.26511842961732
4.0569999999999995,14/11/2009,-92.26511842961732
4.0569999999999995,15/11/2009,-92.26511842961732
4.0569999999999995,16/11/2009,-92.26511842961732
4.0569999999999995,17/11/2009,-92.26511842961732
4.0569999999999995,18/11/2009,-92.26511842961732
4.0569999999999995,19/11/2009,-92.26511842961732
4.0569999999999995,20/11/2009,-92.26511842961732
4.0569999999999995,21/11/2009,-92.26511842961732
4.0569999999999995,22/11/2009,-92.26511842961732
4.0569999999999995,23/11/2009,-92.26511842961732
4.0569999999999995,24/11/2009,-92.26511842961732
4.0569999999999995,25/11/2009,-92.26511842961732
4.0569999999999995,26/11/2009,-92.26511842961732
4.0569999999999995,27/11/2009,-92.26511842961732
4.0569999999999995,28/11/2009,-92.26511842961732
4.0569999999999995,29/11/2009,-92.26511842961732
4.0569999999999995,30/11/2009,-92.26511842961732
5.308,01/12/2009,-77.61422727073241
5.308,02/12/2009,-77.61422727073241
5.308,03/12/2009,-77.61422727073241
5.308,04/12/2009,-77.61422727073241
5.308,05/12/2009,-77.61422727073241
5.308,06/12/2009,-77.61422727073241
5.308,07/12/2009,-77.61422727073241
5.308,08/12/2009,-77.61422727073241
5.308,09/12/2009,-77.61422727073241
5.308,10/12/2009,-77.61422727073241
5.308,11/12/2009,-77.61422727073241
5.308,12/12/2009,-77.61422727073241
5.308,13/12/2009,-77.61422727073241
5.308,14/12/2009,-77.61422727073241
5.308,15/12/2009,-77.61422727073241
5.308,16/12/2009,-77.61422727073241
5.308,17/12/2009,-77.61422727073241
5.308,18/12/2009,-77.61422727073241
5.308,19/12/2009,-77.61422727073241
5.308,20/12/2009,-77.61422727073241
5.308,21/12/2009,-77.61422727073241
5.308,22/12/2009,-77.61422727073241
5.308,23/12/2009,-77.61422727073241
5.308,24/12/2009,-77.61422727073241
5.308,25/12/2009,-77.61422727073241
5.308,26/12/2009,-77.61422727073241
5.308,27/12/2009,-77.61422727073241
5.308,28/12/2009,-77.61422727073241
5.308,29/12/2009,-77.61422727073241
5.308,30/12/2009,-77.61422727073241
5.308,31/12/2009,-77.61422727073241
3.273,01/01/2010,-77.8383199576221
3.273,02/01/2010,-77.8383199576221
3.273,03/01/2010,-77.8383199576221
3.273,04/01/2010,-77.8383199576221
3.273,05/01/2010,-77.8383199576221
3.273,06/01/2010,-77.8383199576221
3.273,07/01/2010,-77.8383199576221
3.273,08/01/2010,-77.8383199576221
3.273,09/01/2010,-77.8383199576221
3.273,10/01/2010,-77.8383199576221
3.273,11/01/2010,-77.8383199576221
3.273,12/01/2010,-77.8383199576221
3.273,13/01/2010,-77.8383199576221
3.273,14/01/2010,-77.8383199576221
3.273,15/01/2010,-77.8383199576221
3.273,16/01/2010,-77.8383199576221
3.273,17/01/2010,-77.8383199576221
3.273,18/01/2010,-77.8383199576221
3.273,19/01/2010,-77.8383199576221
3.273,20/01/2010,-77.8383199576221
3.273,21/01/2010,-77.8383199576221
3.273,22/01/2010,-77.8383199576221
3.273,23/01/2010,-77.8383199576221
3.273,24/01/2010,-77.8383199576221
3.273,25/01/2010,-77.8383199576221
3.273,26/01/2010,-77.8383199576221
3.273,27/01/2010,-77.8383199576221
3.273,28/01/2010,-77.8383199576221
3.273,29/01/2010,-77.8383199576221
3.273,30/01/2010,-77.8383199576221
3.273,31/01/2010,-77.8383199576221
3.739,01/02/2010,-78.1430744184805
3.739,02/02/2010,-78.1430744184805
3.739,03/02/2010,-78.1430744184805
3.739,04/02/2010,-78.1430744184805
3.739,05/02/2010,-78.1430744184805
3.739,06/02/2010,-78.1430744184805
3.739,07/02/2010,-78.1430744184805
3.739,08/02/2010,-78.1430744184805
3.739,09/02/2010,-78.1430744184805
3.739,10/02/2010,-78.1430744184805
3.739,11/02/2010,-78.1430744184805
3.739,12/02/2010,-78.1430744184805
3.739,13/02/2010,-78.1430744184805
3.739,14/02/2010,-78.1430744184805
3.739,15/02/2010,-78.1430744184805
3.739,16/02/2010,-78.1430744184805
3.739,17/02/2010,-78.1430744184805
3.739,18/02/2010,-78.1430744184805
3.739,19/02/2010,-78.1430744184805
3.739,20/02/2010,-78.1430744184805
3.739,21/02/2010,-78.1430744184805
3.739,22/02/2010,-78.1430744184805
3.739,23/02/2010,-78.1430744184805
3.739,24/02/2010,-78.1430744184805
3.739,25/02/2010,-78.1430744184805
3.739,26/02/2010,-78.1430744184805
3.739,27/02/2010,-78.1430744184805
3.739,28/02/2010,-78.1430744184805
2.508,01/03/2010,-78.43667887579086
2.508,02/03/2010,-78.43667887579086
2.508,03/03/2010,-78.43667887579086
2.508,04/03/2010,-78.43667887579086
2.508,05/03/2010,-78.43667887579086
2.508,06/03/2010,-78.43667887579086
2.508,07/03/2010,-78.43667887579086
2.508,08/03/2010,-78.43667887579086
2.508,09/03/2010,-78.43667887579086
2.508,10/03/2010,-78.43667887579086
2.508,11/03/2010,-78.43667887579086
2.508,12/03/2010,-78.43667887579086
2.508,13/03/2010,-78.43667887579086
2.508,14/03/2010,-78.43667887579086
2.508,15/03/2010,-78.43667887579086
2.508,16/03/2010,-78.43667887579086
2.508,17/03/2010,-78.43667887579086
2.508,18/03/2010,-78.43667887579086
2.508,19/03/2010,-78.43667887579086
2.508,20/03/2010,-78.43667887579086
2.508,21/03/2010,-78.43667887579086
2.508,22/03/2010,-78.43667887579086
2.508,23/03/2010,-78.43667887579086
2.508,24/03/2010,-78.43667887579086
2.508,25/03/2010,-78.43667887579086
2.508,26/03/2010,-78.43667887579086
2.508,27/03/2010,-78.43667887579086
2.508,28/03/2010,-78.43667887579086
2.508,29/03/2010,-78.43667887579086
2.508,30/03/2010,-78.43667887579086
2.508,31/03/2010,-78.43667887579086
3.165,01/04/2010,-78.78479487936607
3.165,02/04/2010,-78.78479487936607
3.165,03/04/2010,-78.78479487936607
3.165,04/04/2010,-78.78479487936607
3.165,05/04/2010,-78.78479487936607
3.165,06/04/2010,-78.78479487936607
3.165,07/04/2010,-78.78479487936607
3.165,08/04/2010,-78.78479487936607
3.165,09/04/2010,-78.78479487936607
3.165,10/04/2010,-78.78479487936607
3.165,11/04/2010,-78.78479487936607
3.165,12/04/2010,-78.78479487936607
3.165,13/04/2010,-78.78479487936607
3.165,14/04/2010,-78.78479487936607
3.165,15/04/2010,-78.78479487936607
3.165,16/04/2010,-78.78479487936607
3.165,17/04/2010,-78.78479487936607
3.165,18/04/2010,-78.78479487936607
3.165,19/04/2010,-78.78479487936607
3.165,20/04/2010,-78.78479487936607
3.165,21/04/2010,-78.78479487936607
3.165,22/04/2010,-78.78479487936607
3.165,23/04/2010,-78.78479487936607
3.165,24/04/2010,-78.78479487936607
3.165,25/04/2010,-78.78479487936607
3.165,26/04/2010,-78.78479487936607
3.165,27/04/2010,-78.78479487936607
3.165,28/04/2010,-78.78479487936607
3.165,29/04/2010,-78.78479487936607
3.165,30/04/2010,-78.78479487936607
4.1,01/05/2010,-78.95590518587323
4.1,02/05/2010,-78.95590518587323
4.1,03/05/2010,-78.95590518587323
4.1,04/05/2010,-78.95590518587323
4.1,05/05/2010,-78.95590518587323
4.1,06/05/2010,-78.95590518587323
4.1,07/05/2010,-78.95590518587323
4.1,08/05/2010,-78.95590518587323
4.1,09/05/2010,-78.95590518587323
4.1,10/05/2010,-78.95590518587323
4.1,11/05/2010,-78.95590518587323
4.1,12/05/2010,-78.95590518587323
4.1,13/05/2010,-78.95590518587323
4.1,14/05/2010,-78.95590518587323
4.1,15/05/2010,-78.95590518587323
4.1,16/05/2010,-78.95590518587323
4.1,17/05/2010,-78.95590518587323
4.1,18/05/2010,-78.95590518587323
4.1,19/05/2010,-78.95590518587323
4.1,20/05/2010,-78.95590518587323
4.1,21/05/2010,-78.95590518587323
4.1,22/05/2010,-78.95590518587323
4.1,23/05/2010,-78.95590518587323
4.1,24/05/2010,-78.95590518587323
4.1,25/05/2010,-78.95590518587323
4.1,26/05/2010,-78.95590518587323
4.1,27/05/2010,-78.95590518587323
4.1,28/05/2010,-78.95590518587323
4.1,29/05/2010,-78.95590518587323
4.1,30/05/2010,-78.95590518587323
4.1,31/05/2010,-78.95590518587323
1.597,01/06/2010,-93.59938269841268
1.597,02/06/2010,-93.59938269841268
1.597,03/06/2010,-93.59938269841268
1.597,04/06/2010,-93.59938269841268
1.597,05/06/2010,-93.59938269841268
1.597,06/06/2010,-93.59938269841268
1.597,07/06/2010,-93.59938269841268
1.597,08/06/2010,-93.59938269841268
1.597,09/06/2010,-93.59938269841268
1.597,10/06/2010,-93.59938269841268
1.597,11/06/2010,-93.59938269841268
1.597,12/06/2010,-93.59938269841268
1.597,13/06/2010,-93.59938269841268
1.597,14/06/2010,-93.59938269841268
1.597,15/06/2010,-93.59938269841268
1.597,16/06/2010,-93.59938269841268
1.597,17/06/2010,-93.59938269841268
1.597,18/06/2010,-93.59938269841268
1.597,19/06/2010,-93.59938269841268
1.597,20/06/2010,-93.59938269841268
1.597,21/06/2010,-93.59938269841268
1.597,22/06/2010,-93.59938269841268
1.597,23/06/2010,-93.59938269841268
1.597,24/06/2010,-93.59938269841268
1.597,25/06/2010,-93.59938269841268
1.597,26/06/2010,-93.59938269841268
1.597,27/06/2010,-93.59938269841268
1.597,28/06/2010,-93.59938269841268
1.597,29/06/2010,-93.59938269841268
1.597,30/06/2010,-93.59938269841268
1.4769999999999999,01/07/2010,-81.88642799848348
1.4769999999999999,02/07/2010,-81.88642799848348
1.4769999999999999,03/07/2010,-81.88642799848348
1.4769999999999999,04/07/2010,-81.88642799848348
1.4769999999999999,05/07/2010,-81.88642799848348
1.4769999999999999,06/07/2010,-81.88642799848348
1.4769999999999999,07/07/2010,-81.88642799848348
1.4769999999999999,08/07/2010,-81.88642799848348
1.4769999999999999,09/07/2010,-81.88642799848348
1.4769999999999999,10/07/2010,-81.88642799848348
1.4769999999999999,11/07/2010,-81.88642799848348
1.4769999999999999,12/07/2010,-81.88642799848348
1.4769999999999999,13/07/2010,-81.88642799848348
1.4769999999999999,14/07/2010,-81.88642799848348
1.4769999999999999,15/07/2010,-81.88642799848348
1.4769999999999999,16/07/2010,-81.88642799848348
1.4769999999999999,17/07/2010,-81.88642799848348
1.4769999999999999,18/07/2010,-81.88642799848348
1.4769999999999999,19/07/2010,-81.88642799848348
1.4769999999999999,20/07/2010,-81.88642799848348
1.4769999999999999,21/07/2010,-81.88642799848348
1.4769999999999999,22/07/2010,-81.88642799848348
1.4769999999999999,23/07/2010,-81.88642799848348
1.4769999999999999,24/07/2010,-81.88642799848348
1.4769999999999999,25/07/2010,-81.88642799848348
1.4769999999999999,26/07/2010,-81.88642799848348
1.4769999999999999,27/07/2010,-81.88642799848348
1.4769999999999999,28/07/2010,-81.88642799848348
1.4769999999999999,29/07/2010,-81.88642799848348
1.4769999999999999,30/07/2010,-81.88642799848348
1.4769999999999999,31/07/2010,-81.88642799848348
0.758,01/08/2010,-79.58906991110972
0.758,02/08/2010,-79.58906991110972
0.758,03/08/2010,-79.58906991110972
0.758,04/08/2010,-79.58906991110972
0.758,05/08/2010,-79.58906991110972
0.758,06/08/2010,-79.58906991110972
0.758,07/08/2010,-79.58906991110972
0.758,08/08/2010,-79.58906991110972
0.758,09/08/2010,-79.58906991110972
0.758,10/08/2010,-79.58906991110972
0.758,11/08/2010,-79.58906991110972
0.758,12/08/2010,-79.58906991110972
0.758,13/08/2010,-79.58906991110972
0.758,14/08/2010,-79.58906991110972
0.758,15/08/2010,-79.58906991110972
0.758,16/08/2010,-79.58906991110972
0.758,17/08/2010,-79.58906991110972
0.758,18/08/2010,-79.58906991110972
0.758,19/08/2010,-79.58906991110972
0.758,20/08/2010,-79.58906991110972
0.758,21/08/2010,-79.58906991110972
0.758,22/08/2010,-79.58906991110972
0.758,23/08/2010,-79.58906991110972
0.758,24/08/2010,-79.58906991110972
0.758,25/08/2010,-79.58906991110972
0.758,26/08/2010,-79.58906991110972
0.758,27/08/2010,-79.58906991110972
0.758,28/08/2010,-79.58906991110972
0.758,29/08/2010,-79.58906991110972
0.758,30/08/2010,-79.58906991110972
0.758,31/08/2010,-79.58906991110972
1.41,01/09/2010,-79.77347599779759
1.41,02/09/2010,-79.77347599779759
1.41,03/09/2010,-79.77347599779759
1.41,04/09/2010,-79.77347599779759
1.41,05/09/2010,-79.77347599779759
1.41,06/09/2010,-79.77347599779759
1.41,07/09/2010,-79.77347599779759
1.41,08/09/2010,-79.77347599779759
1.41,09/09/2010,-79.77347599779759
1.41,10/09/2010,-79.77347599779759
1.41,11/09/2010,-79.77347599779759
1.41,12/09/2010,-79.77347599779759
1.41,13/09/2010,-79.77347599779759
1.41,14/09/2010,-79.77347599779759
1.41,15/09/2010,-79.77347599779759
1.41,16/09/2010,-79.77347599779759
1.41,17/09/2010,-79.77347599779759
1.41,18/09/2010,-79.77347599779759
1.41,19/09/2010,-79.77347599779759
1.41,20/09/2010,-79.77347599779759
1.41,21/09/2010,-79.77347599779759
1.41,22/09/2010,-79.77347599779759
1.41,23/09/2010,-79.77347599779759
1.41,24/09/2010,-79.77347599779759
1.41,25/09/2010,-79.77347599779759
1.41,26/09/2010,-79.77347599779759
1.41,27/09/2010,-79.77347599779759
1.41,28/09/2010,-79.77347599779759
1.41,29/09/2010,-79.77347599779759
1.41,30/09/2010,-79.77347599779759
3.028,01/10/2010,-80.07029080922571
3.028,02/10/2010,-80.07029080922571
3.028,03/10/2010,-80.07029080922571
3.028,04/10/2010,-80.07029080922571
3.028,05/10/2010,-80.07029080922571
3.028,06/10/2010,-80.07029080922571
3.028,07/10/2010,-80.07029080922571
3.028,08/10/2010,-80.07029080922571
3.028,09/10/2010,-80.07029080922571
3.028,10/10/2010,-80.07029080922571
3.028,11/10/2010,-80.07029080922571
3.028,12/10/2010,-80.07029080922571
3.028,13/10/2010,-80.07029080922571
3.028,14/10/2010,-80.07029080922571
3.028,15/10/2010,-80.07029080922571
3.028,16/10/2010,-80.07029080922571
3.028,17/10/2010,-80.07029080922571
3.028,18/10/2010,-80.07029080922571
3.028,19/10/2010,-80.07029080922571
3.028,20/10/2010,-80.07029080922571
3.028,21/10/2010,-80.07029080922571
3.028,22/10/2010,-80.07029080922571
3.028,23/10/2010,-80.07029080922571
3.028,24/10/2010,-80.07029080922571
3.028,25/10/2010,-80.07029080922571
3.028,26/10/2010,-80.07029080922571
3.028,27/10/2010,-80.07029080922571
3.028,28/10/2010,-80.07029080922571
3.028,29/10/2010,-80.07029080922571
3.028,30/10/2010,-80.07029080922571
3.028,31/10/2010,-80.07029080922571
7.96,01/11/2010,-80.37303538015837
7.96,02/11/2010,-80.37303538015837
7.96,03/11/2010,-80.37303538015837
7.96,04/11/2010,-80.37303538015837
7.96,05/11/2010,-80.37303538015837
